"longitude" "latitude" "obs" "CMAQ"
-87.88139 30.49778 43.5 52.4264
-85.80222 33.28111 59.125 60.2975
-86.13667 32.49833 51.125 48.8909
-86.815 33.55305 55.375 55.7342
-86.915 33.48556 56 60.8624
-87.00361 33.33111 48.25 56.43
-87.30556 33.45972 58.875 55.314
-86.54916 33.54528 54 54.3363
-86.81667 33.38639 43.5 57.6943
-86.66917 33.70472 44.5 54.5577
-86.9425 33.80167 44.625 55.061
-86.77389 33.57833 57.25 59.6949
-87.33972 34.34278 49.5 58.1821
-86.58305 34.69083 54.375 57.6111
-88.0875 30.76972 41.75 46.6427
-88.14111 30.47444 42.5 57.7276
-86.25639 32.40694 50.125 47.8515
-86.97694 34.51861 54.125 55.0671
-86.825 33.31694 51.625 56.0519
-88.20194 32.36389 45.875 45.917
-87.45972 33.08953 53.5 47.7435
-90.19111 35.19667 60.625 61.4733
-93.81667 34.64972 52.25 49.0269
-93.21917 35.8325 46.429 48.6342
-92.27583 34.75611 39 61.6883
-92.25945 34.83055 43.25 62.6179
-73.58528 41.00361 97.125 53.2833
-73.44473 41.40139 69.125 53.4541
-73.10361 41.15194 84.143 91.2015
-73.33694 41.11889 92.125 60.6672
-72.62972 41.78444 63.375 52.031
-72.63084 41.55194 75.75 57.0881
-72.55055 41.25833 84.75 72.8963
-72.92139 41.34111 75.75 61.7958
-72.06306 41.31528 95.375 82.5063
-72.38667 41.97556 55.625 51.3069
-75.55556 38.98472 51.5 64.1464
-75.49194 39.76111 63.125 78.5397
-75.73083 39.55111 60.875 76.4476
-75.56389 39.81722 70.429 80.8015
-75.49639 39.77389 60.286 78.5397
-75.61305 38.64444 50.571 67.0766
-75.16306 38.77917 48.857 81.2983
-77.02278 38.97528 64.625 84.2819
-76.95278 38.89722 69.286 73.9387
-77.0125 38.91889 70.375 73.9387
-82.29694 29.54667 32 37.4013
-82.445 30.1975 35 41.6748
-85.732 30.131 38.875 44.2511
-80.62861 28.05389 22.125 31.8878
-80.61555 28.31056 23.375 32.8572
-82.61945 30.17806 39.375 40.96
-81.5875 30.4775 31.286 39.4964
-81.71694 30.23139 28.625 33.4242
-87.20417 30.525 40 46.5985
-87.271 30.368 44.125 49.9074
-87.276 30.399 41 49.9074
-82.46528 27.73972 24.714 33.7223
-82.16212 27.78051 23.25 32.2611
-82.45472 27.92806 21.625 27.2472
-82.53861 27.89222 22.5 24.575
-82.12583 27.9925 10.5 32.7772
-85.60445 30.8475 37.25 37.6239
-81.72334 28.525 24.571 33.5233
-84.34834 30.43972 34.375 40.2917
-84.19917 30.48444 29.875 38.557
-82.54611 27.63278 21.125 33.7549
-82.61889 27.48056 23.625 32.5721
-82.52222 27.44944 21.25 32.6697
-82.10083 29.17028 26.25 37.5048
-82.17333 29.1925 23.75 36.8185
-81.38139 28.45417 15.286 31.2846
-81.36305 28.59944 18.75 33.0857
-81.63667 28.34722 19.5 32.4107
-82.30583 28.33194 26.875 35.0006
-82.75806 28.195 34.125 35.1667
-82.73194 27.94639 21 28.0149
-82.74 27.78556 19.143 27.3027
-82.70084 28.09 20.75 31.061
-82.00027 27.93944 23.875 32.2184
-81.97222 28.02917 22 31.2982
-80.40833 27.44889 18.875 32.7536
-86.89 30.408 41.75 48.6624
-81.31 28.74556 22.75 33.9222
-80.99389 29.10889 33.75 36.426
-81.05305 29.20667 37.125 36.432
-84.16194 30.09306 36.375 43.2621
-83.54472 32.80305 54.25 45.513
-81.04889 32.06833 27.625 49.4916
-84.55473 34.32028 47.625 54.903
-84.6075 34.01444 62.25 64.4919
-84.74611 33.40389 48.875 59.3021
-84.05611 34.37778 45.143 52.2268
-84.29028 33.6875 50.625 55.6509
-84.21361 33.84778 53.375 56.0082
-84.77889 33.74333 64.25 70.9468
-84.42028 33.45555 52.125 56.3015
-84.35778 33.72055 51.125 55.6509
-81.49639 31.16944 33.375 45.0622
-84.06639 33.96361 49.25 53.8248
-84.16167 33.43472 45.75 52.5355
-84.62695 34.785 44.125 48.4848
-84.84333 32.53944 59 44.6987
-85.04528 33.92833 66.375 69.6849
-82.02194 33.43333 57.5 53.923
-84.06667 33.58556 47 51.8166
-84.07944 31.95306 52.875 43.3927
-91.40417 39.93278 55 51.3128
-88.22945 40.12361 73.5 64.1018
-87.66842 39.21088 60.25 79.3066
-87.7325 41.67083 64.625 69.1251
-87.54528 41.75583 70.75 71.15
-87.63556 41.87917 58.875 72.1723
-87.56861 41.70722 58 71.15
-87.60167 41.79083 65.571 71.15
-87.6075 41.89583 67.875 72.1723
-87.65861 41.96417 71.75 74.0532
-87.79195 41.98444 73.125 74.0532
-87.99055 41.66806 60.375 70.5503
-87.7525 41.85528 61.375 71.3515
-87.90528 42.02778 67.5 72.9725
-87.79916 42.14 69.6875 76.7941
-87.67415 42.06179 75.25 68.9848
-87.56805 41.63139 60.857 67.3292
-88.07278 41.81306 61 72.4743
-88.54889 39.06702 63.375 61.6607
-88.49311 37.99822 69.125 67.9556
-90.32417 39.11031 82.25 93.4008
-88.27306 42.04944 57.25 72.7058
-87.84139 42.38694 67.125 83.7906
-87.81002 42.46753 64.875 83.7906
-87.98167 42.29056 56.75 81.7645
-88.2421 42.22142 61.5 73.6592
-88.99701 40.51866 70.875 68.4808
-88.92555 39.86694 68 59.8768
-89.80944 39.39611 66.75 66.8647
-90.14806 38.89028 68.5 71.8839
-89.95992 38.72637 62.286 67.9238
